景点名称,城市,评分,评论数,门票价格,景区类型
涠洲岛,北海,4.4,22000,98,自然风光
北海银滩景区,北海,4.4,4630,0,自然风光
北海海底世界,北海,4.5,8279,165,主题乐园
北海金海湾红树林生态旅游区,北海,4.6,6050,89,自然风光
海丝首港景区,北海,4.2,681,65,历史遗迹
北海老街,北海,4.8,3672,0,古镇街区
北海老城,北海,4.8,5,0,古镇街区
红树林天天赶海,北海,4.5,977,38,自然风光
涠洲岛火山国家地质公园,北海,4.4,203,98,自然风光
侨港风情街,北海,3.9,508,0,古镇街区
侨港海滩,北海,4.4,27,0,自然风光
流下村,北海,3.9,23,0,古镇街区
北海酷奇游艇海钓俱乐部,北海,4.9,110,200,主题乐园
南湾鳄鱼山景区,北海,4.5,1047,0,自然风光
北海园博园,北海,3.8,573,34,自然风光
北海国际客运港,北海,4.1,33,0,城市地标
冠头岭国家森林公园,北海,4.3,250,0,自然风光
外沙海鲜岛,北海,4,180,0,城市地标
北海南珠博物馆,北海,4.2,85,30,历史遗迹
北部湾广场,北海,4.1,120,0,城市地标
