景点名称,城市,评分,评论数,门票价格,景区类型
象鼻山景区,桂林,4.5,25000,0,自然风光
桂林两江四湖景区,桂林,4.4,16000,175,自然风光
独秀峰王城景区,桂林,4.8,24000,100,历史遗迹
龙脊梯田,桂林,4.5,7312,80,自然风光
漓江三星游船,桂林,4.4,5519,215,主题乐园
遇龙河竹筏漂游,桂林,4.4,6485,210,主题乐园
漓江风景名胜区,桂林,4.6,16000,215,自然风光
漓江四星游船,桂林,4.5,2294,360,主题乐园
《印象刘三姐》山水实景演出,桂林,4.0,15000,218,主题乐园
银子岩,桂林,4.5,6608,0,自然风光
阳朔如意峰索道景区,桂林,4.7,2037,208,主题乐园
桂林千古情,桂林,4.7,4157,257,主题乐园
阳朔西街,桂林,4.5,6253,0,古镇街区
桂海晴岚,桂林,4.5,681,35,自然风光
漓江竹筏游,桂林,4.3,1773,110,主题乐园
遇龙河景区,桂林,4.4,6940,0,自然风光
芦笛岩,桂林,4.6,12000,82,自然风光
芦笛景区,桂林,4.7,95,0,自然风光
相公山景区,桂林,4.4,636,75,自然风光
十里画廊,桂林,4.1,2022,0,自然风光
兴坪古镇,桂林,4.3,1135,0,古镇街区
世外桃源,桂林,4.5,7123,60,自然风光
阳朔漂流,桂林,4.3,0,0,主题乐园
日月双塔文化公园,桂林,4.4,2067,30,城市地标
独秀峰,桂林,4.9,4681,0,自然风光
叠彩山,桂林,4.6,3184,23,自然风光
九马画山,桂林,4.6,622,0,自然风光
东西巷,桂林,4.4,307,0,自然风光
桂林看日落,桂林,4.5,0,0,自然风光
