景点名称,城市,评分,评论数,门票价格,景区类型
青秀山,南宁,4.8,20000,20,自然风光
南宁方特东盟神画,南宁,4.9,15000,160,主题乐园
广西壮族自治区博物馆,南宁,4.7,794,0,历史遗迹
南宁动物园,南宁,4.4,2360,50,主题乐园
邕江夜游,南宁,4.4,644,0,城市地标
南宁园博园,南宁,4.5,1680,40,自然风光
邕州古城·三街两巷历史文化街区,南宁,4.6,36,0,古镇街区
南宁极地海洋世界,南宁,4.5,1481,99,主题乐园
广西民族博物馆,南宁,4.7,985,0,历史遗迹
南宁亭子码头,南宁,4.4,109,0,城市地标
南宁之夜,南宁,4.3,57,0,城市地标
南宁大明山风景旅游区,南宁,4.5,925,68,自然风光
相思小镇,南宁,4.4,16,0,古镇街区
邕江,南宁,4.7,157,0,自然风光
云顶观光,南宁,4.2,871,40,城市地标
南宁火秀,南宁,5,24,55,主题乐园
三街两巷文化艺术中心,南宁,4.4,29,0,古镇街区
南宁孔庙,南宁,4.5,200,0,历史遗迹
南湖公园,南宁,4.3,350,0,自然风光
凤岭摩天轮,南宁,4.2,180,35,城市地标
