景点名称,城市,评分,评论数,门票价格,景区类型
象鼻山景区,桂林,4.5,25000,0,自然风光
桂林两江四湖景区,桂林,4.4,16000,175,自然风光
独秀峰王城景区,桂林,4.8,24000,100,历史遗迹
龙脊梯田,桂林,4.5,7312,80,自然风光
漓江三星游船,桂林,4.4,5519,215,主题乐园
遇龙河竹筏漂游,桂林,4.4,6485,210,主题乐园
漓江风景名胜区,桂林,4.6,16000,215,自然风光
漓江四星游船,桂林,4.5,2294,360,主题乐园
《印象刘三姐》山水实景演出,桂林,4,15000,218,主题乐园
银子岩,桂林,4.5,6608,0,自然风光
阳朔如意峰索道景区,桂林,4.7,2037,208,主题乐园
桂林千古情,桂林,4.7,4157,257,主题乐园
阳朔西街,桂林,4.5,6253,0,古镇街区
桂海晴岚,桂林,4.5,681,35,自然风光
漓江竹筏游,桂林,4.3,1773,110,主题乐园
遇龙河景区,桂林,4.4,6940,0,自然风光
芦笛岩,桂林,4.6,12000,82,自然风光
芦笛景区,桂林,4.7,95,0,自然风光
相公山景区,桂林,4.4,636,75,自然风光
十里画廊,桂林,4.1,2022,0,自然风光
兴坪古镇,桂林,4.3,1135,0,古镇街区
世外桃源,桂林,4.5,7123,60,自然风光
阳朔漂流,桂林,4.3,0,0,主题乐园
日月双塔文化公园,桂林,4.4,2067,30,城市地标
独秀峰,桂林,4.9,4681,0,自然风光
叠彩山,桂林,4.6,3184,23,自然风光
九马画山,桂林,4.6,622,0,自然风光
东西巷,桂林,4.4,307,0,自然风光
桂林看日落,桂林,4.5,0,0,自然风光
青秀山,南宁,4.8,20000,20,自然风光
南宁方特东盟神画,南宁,4.9,15000,160,主题乐园
广西壮族自治区博物馆,南宁,4.7,794,0,历史遗迹
南宁动物园,南宁,4.4,2360,50,主题乐园
邕江夜游,南宁,4.4,644,0,城市地标
南宁园博园,南宁,4.5,1680,40,自然风光
邕州古城·三街两巷历史文化街区,南宁,4.6,36,0,古镇街区
南宁极地海洋世界,南宁,4.5,1481,99,主题乐园
广西民族博物馆,南宁,4.7,985,0,历史遗迹
南宁亭子码头,南宁,4.4,109,0,城市地标
南宁之夜,南宁,4.3,57,0,城市地标
南宁大明山风景旅游区,南宁,4.5,925,68,自然风光
相思小镇,南宁,4.4,16,0,古镇街区
邕江,南宁,4.7,157,0,自然风光
云顶观光,南宁,4.2,871,40,城市地标
南宁火秀,南宁,5,24,55,主题乐园
三街两巷文化艺术中心,南宁,4.4,29,0,古镇街区
南宁孔庙,南宁,4.5,200,0,历史遗迹
南湖公园,南宁,4.3,350,0,自然风光
凤岭摩天轮,南宁,4.2,180,35,城市地标
程阳八寨,柳州,4.4,1423,90,古镇街区
鹿寨香桥岩溶国家地质公园,柳州,4.4,545,48,自然风光
窑埠古镇,柳州,4.1,64,0,古镇街区
百里柳江旅游景区,柳州,4.5,881,0,城市地标
龙潭公园,柳州,4.7,1043,0,自然风光
柳州云顶观光,柳州,4.5,405,42,城市地标
马鞍山公园,柳州,4.7,27,0,自然风光
柳州工业博物馆,柳州,4.7,141,0,历史遗迹
水之星游船(东堤码头),柳州,4.3,361,100,城市地标
柳州博物馆,柳州,4.5,260,0,历史遗迹
双龙沟,柳州,3.9,194,80,自然风光
仙人山景区,柳州,4.3,88,54,自然风光
五星步行商业街,柳州,4.5,21,0,城市地标
《坐妹》实景演出,柳州,4.4,426,148,主题乐园
柳侯公园,柳州,4.6,497,0,历史遗迹
月也侗寨,柳州,5,7,0,古镇街区
步步高豪华游轮,柳州,4.6,134,100,城市地标
柳州动物园,柳州,4.4,136,12,主题乐园
丹洲景区,柳州,4,185,68,古镇街区
程阳风雨桥,柳州,4.5,253,0,历史遗迹
涠洲岛,北海,4.4,22000,98,自然风光
北海银滩景区,北海,4.4,4630,0,自然风光
北海海底世界,北海,4.5,8279,165,主题乐园
北海金海湾红树林生态旅游区,北海,4.6,6050,89,自然风光
海丝首港景区,北海,4.2,681,65,历史遗迹
北海老街,北海,4.8,3672,0,古镇街区
北海老城,北海,4.8,5,0,古镇街区
红树林天天赶海,北海,4.5,977,38,自然风光
涠洲岛火山国家地质公园,北海,4.4,203,98,自然风光
侨港风情街,北海,3.9,508,0,古镇街区
侨港海滩,北海,4.4,27,0,自然风光
流下村,北海,3.9,23,0,古镇街区
北海酷奇游艇海钓俱乐部,北海,4.9,110,200,主题乐园
南湾鳄鱼山景区,北海,4.5,1047,0,自然风光
北海园博园,北海,3.8,573,34,自然风光
北海国际客运港,北海,4.1,33,0,城市地标
冠头岭国家森林公园,北海,4.3,250,0,自然风光
外沙海鲜岛,北海,4,180,0,城市地标
北海南珠博物馆,北海,4.2,85,30,历史遗迹
北部湾广场,北海,4.1,120,0,城市地标
